gnuLAB4p
111
66
8
39
1.00000	0.00000
0.98840	0.00000
0.96863	0.00000
0.94546	0.00000
0.91874	0.00000
0.88947	0.00000
0.85936	0.00000
0.82947	0.00000
0.79980	0.00000
0.77006	0.00000
0.74011	0.00000
0.70990	0.00000
0.67954	0.00000
0.64910	0.00000
0.61865	0.00000
0.58824	0.00000
0.55790	0.00000
0.52765	0.00000
0.49752	0.00000
0.46753	0.00000
0.43772	0.00000
0.40818	0.00000
0.37896	0.00000
0.35020	0.00000
0.32210	0.00000
0.29489	0.00000
0.26885	0.00000
0.24417	0.00000
0.22096	0.00000
0.19924	0.00000
0.17902	0.00000
0.16029	0.00000
0.14300	0.00000
0.12712	0.00000
0.11256	0.00000
0.09925	0.00000
0.08709	0.00000
0.07604	0.00000
0.06606	0.00000
0.05708	0.00000
0.04906	0.00000
0.04190	0.00000
0.03554	0.00000
0.02991	0.00000
0.02493	0.00000
0.02055	0.00000
0.01671	0.00000
0.01335	0.00000
0.01044	0.00000
0.00983	0.00000
0.00921	0.00000
0.00860	0.00000
0.00798	0.00000
0.00737	0.00000
0.00676	0.00000
0.00614	0.00000
0.00553	0.00000
0.00491	0.00000
0.00430	0.00000
0.00368	0.00000
0.00307	0.00000
0.00246	0.00000
0.00184	0.00000
0.00123	0.00000
0.00061	0.00000
0.00000	0.00000
0.00766	0.00000
0.01533	0.00000
0.02299	0.00000
0.03065	0.00000
0.03831	0.00000
0.04598	0.00000
0.05200	0.00000
0.06130	0.00000
0.07104	0.00000
0.08219	0.00000
0.09498	0.00000
0.10974	0.00000
0.12674	0.00000
0.14617	0.00000
0.16799	0.00000
0.19191	0.00000
0.21739	0.00000
0.24407	0.00000
0.27163	0.00000
0.29977	0.00000
0.32821	0.00000
0.35673	0.00000
0.38526	0.00000
0.41384	0.00000
0.44256	0.00000
0.47155	0.00000
0.50084	0.00000
0.53035	0.00000
0.55999	0.00000
0.58967	0.00000
0.61938	0.00000
0.64917	0.00000
0.67906	0.00000
0.70903	0.00000
0.73902	0.00000
0.76892	0.00000
0.79869	0.00000
0.82847	0.00000
0.85848	0.00000
0.88874	0.00000
0.91816	0.00000
0.94506	0.00000
0.96841	0.00000
0.98832	0.00000
1.00000	0.00000
